country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,10.3,,13.6,18.6,,22.8,,21.8,21.2,,,,22.5,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5,,75.1,,,60.1,,,,69.3,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8,,,,,50.9,,,56.9,,,,,64,,57,,,,61.4,,,,,,55.9,57.1,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,6.2,,,,,,,,17.7,,,,,,,13.7,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,48.2,48.2,,,,,,52.6,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.3,,,,78.9,,,,,,,55.4,81.3,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,60.5,,,,,53.1,,,,,54.9,,,,,,57.1,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,76.1,,,,,,,,,66.7,,,,,,,70.8,,,72.3,65.2,,,62,,,67.8,,,,66.9,
Austria,,,,,,,,,,,,,,,,,,,,,,71.4,,,,,,,,,,,,,,50.9,,,,,,,,,,,,,69.6,,,,65.7,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.1,55.4,,,,,51.1,,,,,54.9,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.7,,,,,,,,,,,,,44.6,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.8,,,,,,61.8,,,,,,,,,,,,,,,,,,,,,,
